co_code,company_name,date,months,total_income,net_sales,raw_material_cost,employee_cost,power_fuel_cost,depreciation,EBITDA,PAT,inventories,trade_receivables,trade_payables,rm_pct_of_sales,power_pct_of_sales,EBITDA_margin_pct,PAT_margin_pct
34162,BHARTI AIRTEL LTD.,2003-06-30,3,222.0086,221.8095,,,,32.1287,36.5219,4.3889,,,,0.0,0.0,16.4507,1.9787
34162,BHARTI AIRTEL LTD.,2003-09-30,3,315.2114,249.6069,,,,46.4401,65.4737,19.0227,,,,0.0,0.0,20.7713,7.6211
34162,BHARTI AIRTEL LTD.,2003-12-31,3,,,,,,,,,,,,0.0,0.0,0.0,0
34162,BHARTI AIRTEL LTD.,2004-03-31,3,383.7916,345.0576,,,,54.2466,144.3814,37.5743,,,,0.0,0.0,37.6197,20.7272
34162,BHARTI AIRTEL LTD.,2004-06-30,3,380.779,379.5553,,,,46.2586,102.2983,54.2426,,,,0.0,0.0,26.8655,13.8367
34162,BHARTI AIRTEL LTD.,2004-09-30,3,420.9284,411.6482,,,,51.3123,144.1903,61.8572,,,,0.0,0.0,34.2553,15.4936
34162,BHARTI AIRTEL LTD.,2004-12-31,3,493.7586,490.7459,,,,64.8016,166.099,76.7888,,,,0.0,0.0,33.6397,14.9130
34162,BHARTI AIRTEL LTD.,2005-03-31,3,534.2184,533.0236,,,,71.4282,212.1904,86.0952,,,,0.0,0.0,39.7198,15.7563
34162,BHARTI AIRTEL LTD.,2005-06-30,3,579.8641,576.698,,,,72.2114,210.4534,109.6478,,,,0.0,0.0,36.2936,18.9880
34162,BHARTI AIRTEL LTD.,2005-09-30,3,624.5261,621.2016,,,,79.4235,226.4092,117.2543,,,,0.0,0.0,36.253,18.8545
34162,BHARTI AIRTEL LTD.,2005-12-31,3,667.1304,663.0927,,,,83.2043,238.8056,120.6954,,,,0.0,0.0,35.7959,18.1764
34162,BHARTI AIRTEL LTD.,2006-03-31,3,766.6601,763.3847,,,,98.6019,236.096,115.5099,,,,0.0,0.0,30.7954,15.1021
34162,BHARTI AIRTEL LTD.,2006-06-30,3,835.049,828.4548,,,,101.8749,321.8638,182.3278,,,,0.0,0.0,38.5443,22.0837
34162,BHARTI AIRTEL LTD.,2006-09-30,3,946.4452,938.6765,,,,122.4453,362.7762,191.3619,,,,0.0,0.0,38.3304,20.4288
34162,BHARTI AIRTEL LTD.,2006-12-31,3,1104.119,1100.9623,,78.1929,,160.2975,446.8584,234.1619,,,,0.0,0.0,40.4719,21.2688
34162,BHARTI AIRTEL LTD.,2007-03-31,3,1226.2825,1217.7829,,74.9952,,158.8284,506.9017,303.9511,,,,0.0,0.0,41.3365,24.9594
34162,BHARTI AIRTEL LTD.,2007-06-30,3,1526.0805,1440.5804,,86.6185,,193.4788,673.9446,353.8883,,,,0.0,0.0,44.1618,24.5657
34162,BHARTI AIRTEL LTD.,2007-09-30,3,1585.1562,1567.9053,,93.8523,,218.4779,675.9817,412.2608,,,,0.0,0.0,42.6445,26.2937
34162,BHARTI AIRTEL LTD.,2007-12-31,3,1779.3991,1762.2059,,94.8859,,250.0507,753.8362,367.4975,,,,0.0,0.0,42.3647,20.8544
34162,BHARTI AIRTEL LTD.,2008-03-31,3,1964.9649,1948.5364,,90.7309,,231.6889,806.7285,480.7306,,,,0.0,0.0,41.0556,24.6714
34162,BHARTI AIRTEL LTD.,2008-06-30,3,2022.9122,1986.4549,,93.7856,,232.8725,846.4806,516.114,,,,0.0,0.0,41.8447,25.9817
34162,BHARTI AIRTEL LTD.,2008-09-30,3,1970.2638,1958.4694,,96.9274,,241.8971,800.823,370.9222,,,,0.0,0.0,40.6455,19.2148
34162,BHARTI AIRTEL LTD.,2008-12-31,3,1991.8013,1987.4573,,95.1813,,256.7313,801.157,415.9973,,,,0.0,0.0,40.2227,20.9311
34162,BHARTI AIRTEL LTD.,2009-03-31,3,2009.6288,2001.7216,,94.754,,258.5592,795.1538,409.1284,,,,0.0,0.0,39.5672,20.4388
34162,BHARTI AIRTEL LTD.,2009-06-30,3,2261.5482,2183.2016,,107.2161,,300.8272,963.9529,564.1379,,,,0.0,0.0,42.6236,25.8399
34162,BHARTI AIRTEL LTD.,2009-09-30,3,2146.5186,2142.5961,,99.9816,,314.7057,891.5975,477.034,17.713,,,0.0,0.0,41.5369,22.2643
34162,BHARTI AIRTEL LTD.,2009-12-31,3,2219.6226,2210.015,,96.7617,,340.5747,883.8945,479.4124,,,,0.0,0.0,39.8218,21.6927
34162,BHARTI AIRTEL LTD.,2010-03-31,3,2375.0714,2362.5434,,99.9385,,372.6098,909.1608,482.9443,10.6378,,,0.0,0.0,38.2793,19.5337
34162,BHARTI AIRTEL LTD.,2010-06-30,3,2638.4048,2638.4048,,120.2848,,418.0653,953.1725,385.5083,,,,0.0,0.0,36.1268,13.8121
34162,BHARTI AIRTEL LTD.,2010-09-30,3,3310.9083,3310.9083,,191.6305,,560.5888,1116.7433,360.5897,44.3211,,,0.0,0.0,33.7292,10.8910
34162,BHARTI AIRTEL LTD.,2010-12-31,3,3494.7109,3494.7109,,195.5973,,600.2555,1108.7909,268.5837,,,,0.0,0.0,31.7277,7.6854
34162,BHARTI AIRTEL LTD.,2011-03-31,3,3624.0012,3624.0012,,211.9161,,660.1985,1218.7288,295.7579,47.5444,,,0.0,0.0,33.6294,8.1611
34162,BHARTI AIRTEL LTD.,2011-06-30,3,3786.4255,3786.4255,,206.1456,,698.166,1272.1674,268.7518,,,,0.0,0.0,33.5981,7.0978
34162,BHARTI AIRTEL LTD.,2011-09-30,3,3626.5625,3626.5625,,182.4365,,668.346,1220.6724,214.6583,50.5893,,,0.0,0.0,33.6592,5.9191
34162,BHARTI AIRTEL LTD.,2011-12-31,3,3514.077,3514.077,,161.4845,,680.5892,1130.2585,194.0662,,,,0.0,0.0,32.1637,5.5225
34162,BHARTI AIRTEL LTD.,2012-03-31,3,3723.7049,3723.7049,,173.221,,689.2077,1238.2211,200.306,25.9921,,,0.0,0.0,33.2524,5.3792
34162,BHARTI AIRTEL LTD.,2012-06-30,3,3326.9498,3314.3495,,159.1469,,640.746,991.6473,138.3366,,,,0.0,0.0,29.8065,4.1739
34162,BHARTI AIRTEL LTD.,2012-09-30,3,3572.2762,3554.2928,,175.4392,,675.5876,1105.2123,128.4662,24.8142,,,0.0,0.0,30.9386,3.6144
34162,BHARTI AIRTEL LTD.,2012-12-31,3,3562.7184,3545.4629,,180.9914,,683.4709,1073.9446,51.968,,,,0.0,0.0,30.144,1.4658
34162,BHARTI AIRTEL LTD.,2013-03-31,3,3617.3494,3601.2661,,191.805,,698.549,1130.0598,93.0627,20.3845,,,0.0,0.0,31.24,2.5842
34162,BHARTI AIRTEL LTD.,2013-06-30,3,3528.8084,3476.168,,187.1012,,658.7757,1173.4154,110.2983,,,,0.0,0.0,33.2525,4.2824
34162,BHARTI AIRTEL LTD.,2013-09-30,3,3373.6928,3347.7799,,191.4604,,617.9247,1084.7329,91.5107,26.0697,,,0.0,0.0,32.1527,2.3497
34162,BHARTI AIRTEL LTD.,2013-12-31,3,3575.2532,3547.1804,,187.0287,,632.9803,1173.8273,89.7912,,,,0.0,0.0,32.832,2.8383
34162,BHARTI AIRTEL LTD.,2014-03-31,3,3675.8449,3648.425,,188.76,,646.4746,1199.233,193.7588,23.3061,,,0.0,0.0,32.6247,4.6059
34162,BHARTI AIRTEL LTD.,2014-06-30,3,3877.9556,3851.537,,195.5443,,675.7831,1288.4162,226.3827,,,,0.0,0.0,33.2241,5.0866
47858,CIPLA LTD.,2012-06-30,3,368.8542,352.338,121.476,40.1107,,14.2156,114.6779,78.5472,,,,34.4771,0.0,31.0903,22.2931
47858,CIPLA LTD.,2012-09-30,3,417.93,405.7756,146.9038,47.9052,,14.8025,140.6133,89.3586,,,,36.2032,0.0,33.6452,22.0217
47858,CIPLA LTD.,2012-12-31,3,395.5516,386.2413,182.0948,50.3358,,15.5373,102.4886,62.272,,,,47.1454,0.0,25.9103,16.1226
47858,CIPLA LTD.,2013-03-31,3,374.2248,363.6925,141.0167,50.4777,,15.6403,88.7946,50.8214,438.7658,306.7484,152.2603,38.7736,0.0,23.7276,13.9737
47858,CIPLA LTD.,2013-06-30,3,442.7223,430.0639,134.8684,56.3735,,14.5609,130.7568,83.1133,,,,31.3601,0.0,29.5347,19.3258
47858,CIPLA LTD.,2013-09-30,3,404.8071,394.0874,155.7345,60.067,,14.3415,97.9042,56.3574,426.0926,276.8003,151.3299,39.5178,0.0,24.1854,14.3007
47858,CIPLA LTD.,2013-12-31,3,425.3202,416.8579,184.1325,65.0651,,14.7261,82.9507,46.9098,,,,44.1715,0.0,19.5031,11.2532
47858,CIPLA LTD.,2014-03-31,3,428.2771,415.5718,165.7243,70.1364,,17.2108,79.2769,44.1341,474.5239,268.6088,160.5418,39.8786,0.0,18.5107,10.6201
47858,CIPLA LTD.,2014-06-30,3,462.1392,455.3772,145.709,80.3573,,20.9942,94.4339,50.8047,,,,31.9974,0.0,20.4341,11.1566
48799,COAL INDIA LTD.,2010-06-30,3,2688.0671,2455.8709,231.1525,1023.9925,92.7466,91.9177,896.6294,544.8314,,,,9.4122,3.7765,33.3559,22.0878
48799,COAL INDIA LTD.,2010-09-30,3,2640.0668,2413.2707,278.3011,1135.176,92.7765,84.0992,647.0356,335.6947,,,,11.5321,3.8444,24.5083,13.4610
48799,COAL INDIA LTD.,2010-12-31,3,3087.2892,2809.3408,305.3427,1109.5172,102.5751,95.4448,1028.8668,583.2468,,,,10.8688,3.6512,33.3259,20.6993
48799,COAL INDIA LTD.,2011-03-31,3,3668.3337,3335.136,341.6886,1163.058,95.0377,115.4647,1444.9616,934.2091,1241.5364,759.8973,143.4668,10.2451,2.8496,39.3901,28.1308
48799,COAL INDIA LTD.,2011-06-30,3,3584.8907,3232.664,252.7569,1086.2596,103.1508,96.0452,1426.0208,920.9775,,,,7.8188,3.1909,39.7786,28.5806
48799,COAL INDIA LTD.,2011-09-30,3,3138.4363,2759.9694,258.9418,1265.2602,110.1609,120.3585,901.0674,540.8651,1030.1647,557.9878,,9.3821,3.9914,28.7107,19.7223
48799,COAL INDIA LTD.,2011-12-31,3,3271.9015,2914.3686,264.7529,1133.2622,94.2401,105.3285,1222.2543,765.6586,,,,9.0844,3.2336,37.3561,26.3059
48799,COAL INDIA LTD.,2012-03-31,3,4327.2082,3858.8697,346.2552,1896.445,105.0693,81.5393,1225.0065,787.4312,1206.4623,1125.2986,164.7398,8.973,2.7228,28.3094,20.6674
48799,COAL INDIA LTD.,2012-06-30,3,3314.6457,2944.9563,220.1303,1166.0432,91.6955,95.5916,1227.1408,799.4949,,,,7.4748,3.1136,37.0218,27.0855
48799,COAL INDIA LTD.,2012-09-30,3,3067.5459,2668.6799,230.1184,1254.7055,102.7583,70.9027,905.717,551.663,959.1399,1043.3415,149.5024,8.6229,3.8505,29.5258,21.1225
48799,COAL INDIA LTD.,2012-12-31,3,3604.9315,3170.2392,283.1635,1288.2962,125.6912,76.931,1219.3874,801.4877,,,,8.9319,3.9647,33.8255,25.3685
48799,COAL INDIA LTD.,2013-03-31,3,4068.1951,3658.6458,372.1551,1381.8308,105.0838,86.35,1534.2915,991.1551,1032.6096,1926.3605,153.8797,10.1719,2.8722,37.7143,27.1993
48799,COAL INDIA LTD.,2013-06-30,3,3200.8983,2820.8034,235.7756,1193.9356,89.5144,81.4522,1057.0106,639.7711,,,,8.3585,3.1734,33.0223,22.6500
48799,COAL INDIA LTD.,2013-09-30,3,2773.4192,2417.409,262.8745,1120.7552,90.9068,77.6335,779.2104,466.5948,768.1708,1711.1421,142.6055,10.8742,3.7605,28.0957,19.8057
48799,COAL INDIA LTD.,2013-12-31,3,3090.447,2734.2995,284.0917,1154.1666,98.0532,71.3516,1013.5842,627.1816,,,,10.3899,3.586,32.7973,23.0037
48799,COAL INDIA LTD.,2014-03-31,3,3672.7685,3277.6051,362.2955,1186.8702,93.8965,95.7305,1232.2811,722.3768,912.5889,1350.6785,131.95,11.0537,2.8648,33.5518,22.1731
48799,COAL INDIA LTD.,2014-06-30,3,3347.6638,2979.9651,262.9569,1194.7474,90.9834,86.7761,1084.4072,672.5972,,,,8.8242,3.0532,32.393,22.6591
62987,DR. REDDY'S LABORATORIES LTD.,2002-06-30,3,92.1426,89.31,27.4923,8.4405,,3.5269,34.6196,26.9633,,,,30.783,0.0,37.5718,30.3896
62987,DR. REDDY'S LABORATORIES LTD.,2002-09-30,3,100.7006,95.2983,36.5099,8.3461,,3.8665,28.6262,20.3874,,,,38.3112,0.0,28.4271,22.6129
62987,DR. REDDY'S LABORATORIES LTD.,2002-12-31,3,89.1421,85.0187,29.1151,8.199,,3.8056,22.1292,14.5098,,,,34.2455,0.0,24.8246,17.0666
62987,DR. REDDY'S LABORATORIES LTD.,2003-03-31,3,83.8226,85.0925,14.4077,12.2058,,4.3702,15.6734,14.0824,,,,16.9318,0.0,18.6984,14.0827
62987,DR. REDDY'S LABORATORIES LTD.,2003-06-30,3,104.4938,99.7474,32.8117,10.8866,,4.9455,28.4934,18.7801,,,,32.8948,0.0,27.2681,18.8277
62987,DR. REDDY'S LABORATORIES LTD.,2003-09-30,3,119.1023,114.1929,38.4772,13.7817,,5.4351,29.6442,19.3782,,,,33.6949,0.0,24.8897,16.9697
62987,DR. REDDY'S LABORATORIES LTD.,2003-12-31,3,111.8184,106.6682,37.547,12.2327,,5.6524,21.0086,12.6516,,,,35.1998,0.0,18.7881,11.8607
62987,DR. REDDY'S LABORATORIES LTD.,2004-03-31,3,106.4539,101.6599,31.1275,14.8262,,6.3757,2.5036,3.8276,,,,30.6193,0.0,2.3518,3.7651
62987,DR. REDDY'S LABORATORIES LTD.,2004-06-30,3,106.4661,102.8652,34.2869,15.0189,,6.1034,10.827,3.6031,,,,33.3319,0.0,10.1694,3.5028
62987,DR. REDDY'S LABORATORIES LTD.,2004-09-30,3,116.8378,113.7118,39.4008,15.851,,6.7703,18.2524,10.1761,,,,34.6496,0.0,15.622,8.9490
62987,DR. REDDY'S LABORATORIES LTD.,2004-12-31,3,103.6212,100.1946,33.2944,16.6119,,7.5397,5.648,-0.8049,,,,33.2297,0.0,5.4506,-0.8033
62987,DR. REDDY'S LABORATORIES LTD.,2005-03-31,3,98.3841,92.2019,27.6333,18.1598,,7.6562,-1.6091,-6.1479,,,,29.9705,0.0,-1.6355,-6.6678
62987,DR. REDDY'S LABORATORIES LTD.,2005-06-30,3,129.3216,123.4711,43.5737,17.1684,,7.9751,20.2818,7.0436,,,,35.2906,0.0,15.6832,5.7046
62987,DR. REDDY'S LABORATORIES LTD.,2005-09-30,3,132.4855,127.0752,46.3653,17.3579,,8.0676,30.6195,20.7006,,,,36.4865,0.0,23.1116,16.2901
62987,DR. REDDY'S LABORATORIES LTD.,2005-12-31,3,135.9608,122.0778,44.5367,17.2284,,8.2965,29.0149,13.9729,,,,36.4822,0.0,21.3406,11.4459
62987,DR. REDDY'S LABORATORIES LTD.,2006-03-31,3,161.2161,155.8184,58.8689,26.939,,12.0566,16.2156,-8.6889,,,,37.7804,0.0,10.0583,-5.5763
62987,DR. REDDY'S LABORATORIES LTD.,2006-06-30,3,298.2641,290.2498,152.7092,33.3532,,18.4147,60.0536,27.9923,,,,52.613,0.0,20.1344,9.6442
62987,DR. REDDY'S LABORATORIES LTD.,2006-09-30,3,429.956,421.4913,220.5828,34.3032,,17.9333,110.0562,63.4201,,,,52.3339,0.0,25.5971,15.0466
62987,DR. REDDY'S LABORATORIES LTD.,2006-12-31,3,343.5974,331.2169,130.3969,36.3687,,20.7552,73.9025,20.9524,,,,39.369,0.0,21.5084,7.1450
62987,DR. REDDY'S LABORATORIES LTD.,2007-03-31,3,397.908,380.584,111.842,38.4186,,27.0184,149.4475,102.4293,,,,29.3869,0.0,37.5583,26.1910
62987,DR. REDDY'S LABORATORIES LTD.,2007-06-30,3,307.2631,291.3992,96.3311,42.338,,22.9472,76.8078,45.9213,,,,33.0581,0.0,24.9974,15.7589
62987,DR. REDDY'S LABORATORIES LTD.,2007-09-30,3,328.8746,319.5017,128.5672,46.1577,,25.6148,61.5196,27.4145,,,,40.2399,0.0,18.7061,8.5804
62987,DR. REDDY'S LABORATORIES LTD.,2007-12-31,3,321.0624,314.318,140.6973,44.8073,,23.6055,54.6349,15.8595,,,,44.7627,0.0,17.0169,5.0457
62987,DR. REDDY'S LABORATORIES LTD.,2008-03-31,3,383.4828,371.3584,155.0994,59.4622,,29.2393,65.6694,22.7893,,,,41.7654,0.0,17.1245,6.1367
62987,DR. REDDY'S LABORATORIES LTD.,2008-06-30,3,361.4222,349.9953,146.177,56.0416,,27.5572,61.8916,21.4783,,,,41.7654,0.0,17.1245,6.1367
62987,DR. REDDY'S LABORATORIES LTD.,2008-09-30,3,357.6442,355.6119,156.0552,53.4896,,26.9423,55.4978,19.015,,,,43.8836,0.0,15.5176,5.3471
62987,DR. REDDY'S LABORATORIES LTD.,2008-12-31,3,381.416,379.574,126.5637,52.0004,,25.3773,73.0707,32.7208,,,,33.3436,0.0,19.1578,8.6204
62987,DR. REDDY'S LABORATORIES LTD.,2009-03-31,3,384.0559,387.3781,105.8956,49.8559,,26.0698,-182.4694,40.5668,,,,27.3365,0.0,-47.5112,-63.2374
62987,DR. REDDY'S LABORATORIES LTD.,2009-06-30,3,381.7004,380.7417,122.8482,66.2374,,,69.2119,51.1726,,,,32.2655,0.0,18.1325,13.4402
62987,DR. REDDY'S LABORATORIES LTD.,2009-09-30,3,386.3981,379.2014,128.8303,,,20.3762,77.5162,44.8544,271.1932,271.5792,,33.9741,0.0,20.0612,11.8287
62987,DR. REDDY'S LABORATORIES LTD.,2009-12-31,3,391.3103,370.9286,121.0358,55.3249,,,-110.8021,55.9511,,,,32.6305,0.0,-28.3156,-30.1623
62987,DR. REDDY'S LABORATORIES LTD.,2010-03-31,3,344.947,360.9521,120.0712,-126.2517,,-21.6933,3.5386,53.7188,293.8854,262.8599,,33.2651,0.0,1.0258,10.1519
62987,DR. REDDY'S LABORATORIES LTD.,2010-06-30,3,365.566,361.4621,119.3441,,,,56.4851,45.0021,,,,33.0171,0.0,15.4514,12.4500
62987,DR. REDDY'S LABORATORIES LTD.,2010-09-30,3,411.3818,406.5562,128.5442,76.6739,,,70.2008,62.3451,320.1442,290.7454,,31.6178,0.0,17.0646,15.3349
62987,DR. REDDY'S LABORATORIES LTD.,2010-12-31,3,424.787,420.4047,133.1935,,,,64.9504,60.4839,,,,31.6822,0.0,15.2901,14.3871
62987,DR. REDDY'S LABORATORIES LTD.,2011-03-31,3,461.4121,448.3868,148.9525,,,,86.9558,74.344,356.9477,391.5447,,33.2196,0.0,18.8456,16.5803
62987,DR. REDDY'S LABORATORIES LTD.,2011-06-30,3,445.3378,441.0793,141.5751,,,,62.2784,58.5796,,,,32.0974,0.0,13.9845,13.2810
62987,DR. REDDY'S LABORATORIES LTD.,2011-09-30,3,480.838,476.0414,160.9203,,,,78.8816,64.6116,,,,33.8038,0.0,16.405,13.5727
62987,DR. REDDY'S LABORATORIES LTD.,2011-12-31,3,532.6975,525.7863,149.2986,,,,147.0809,97.3957,,,,28.3953,0.0,27.6106,18.5238
62987,DR. REDDY'S LABORATORIES LTD.,2012-03-31,3,534.0739,528.2773,167.7245,,,,84.7505,88.7745,384.5637,503.5232,188.8282,31.7493,0.0,15.8687,12.8910
62987,DR. REDDY'S LABORATORIES LTD.,2012-06-30,3,457.6762,453.4374,161.1244,,,,70.2552,59.9643,,,,35.534,0.0,15.3504,13.2244
62987,DR. REDDY'S LABORATORIES LTD.,2012-09-30,3,542.1457,527.5722,175.778,,,,103.3187,87.2069,400.7834,480.6651,190.6794,33.3183,0.0,19.0574,14.1430
62987,DR. REDDY'S LABORATORIES LTD.,2012-12-31,3,529.1222,524.2841,172.6765,,,,83.3757,66.4806,,,,32.9357,0.0,15.7574,12.6803
62987,DR. REDDY'S LABORATORIES LTD.,2013-03-31,3,651.6666,593.4799,189.3218,,,,144.2977,84.5027,397.019,587.6697,218.031,31.9003,0.0,22.1429,17.6813
62987,DR. REDDY'S LABORATORIES LTD.,2013-06-30,3,494.2154,487.1755,148.7751,,,,72.0424,61.8071,,,,30.5383,0.0,14.5771,12.6868
62987,DR. REDDY'S LABORATORIES LTD.,2013-09-30,3,541.8833,526.6415,154.7714,,,,120.7035,108.2709,374.4865,522.1977,169.8422,29.3884,0.0,22.2748,20.5588
62987,DR. REDDY'S LABORATORIES LTD.,2013-12-31,3,574.6394,570.7871,143.8759,,,,140.6099,99.8897,,,,25.2066,0.0,24.4692,17.5003
62987,DR. REDDY'S LABORATORIES LTD.,2014-03-31,3,577.6887,570.5084,149.1395,,,,99.4575,78.9327,393.2261,541.4577,172.1375,26.1415,0.0,17.2165,13.8355
62987,DR. REDDY'S LABORATORIES LTD.,2014-06-30,3,600.9389,588.8998,142.9131,,,,117.34,92.1452,,,,24.2678,0.0,19.5261,15.6470
94080,HINDUSTAN UNILEVER LTD.,2007-06-30,3,866.6214,866.6214,,,,,121.5077,121.5077,,,,0.0,0.0,14.0209,14.0209
94080,HINDUSTAN UNILEVER LTD.,2008-06-30,3,999.8949,999.8949,,,,,130.2149,130.2149,,,,0.0,0.0,13.0229,13.0229
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2011-06-30,3,1390.6867,1326.7204,,24.4182,,2.6911,895.8838,236.5435,,,,0.0,0.0,64.4202,17.8292
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2011-09-30,3,1586.6474,1496.6151,,23.4873,,2.6092,956.7745,286.9549,,,,0.0,0.0,60.3016,19.1736
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2011-12-31,3,1476.3365,1390.9235,,21.0927,,1.2531,912.1642,262.6947,,,,0.0,0.0,61.7857,18.8864
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2012-03-31,3,1905.5561,1824.0685,,22.449,,3.8829,1084.0471,369.3719,,125.7139,359.9626,0.0,0.0,56.8888,20.2499
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2012-06-30,3,1377.9297,1313.3286,,22.9199,,2.2881,929.7019,235.4863,,,,0.0,0.0,67.4709,17.9305
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2012-09-30,3,1656.564,1569.1209,,23.9736,,2.421,1066.7603,307.6175,,60.7609,379.3828,0.0,0.0,64.396,19.6044
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2012-12-31,3,1702.9022,1603.065,,24.8202,,2.4648,1079.0774,327.0215,,,,0.0,0.0,63.367,20.3998
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2013-03-31,3,2101.0639,2000.2776,,24.4761,,2.7002,1176.74,403.4927,,39.7083,404.9669,0.0,0.0,56.0069,20.1718
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2013-06-30,3,1525.7243,1450.1474,,26.0,,1.5429,1069.8384,315.1558,,,,0.0,0.0,70.12,21.7327
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,2013-09-30,3,1638.8056,1549.2431,,23.0596,,2.0188,1054.0359,313.3324,,850.11,344.2098,0.0,0.0,64.3173,20.2249
