co_code,company_name,short_name,co_industry_name,nic_prod_code,nic_name,incorporation_year,decile_size_group,nse_symbol,bse_scrip_code
33769,BHARAT HEAVY ELECTRICALS LTD.,BHEL,Boilers & turbines,28199,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including Manufacture of parts and accessories for general purpose machinery and equipment.)",1964,Decile 1,BHEL,500103
34162,BHARTI AIRTEL LTD.,AIRTEL,Telecommunication services,61202,"Activities of maintaining and operating pageing, cellular and other telecommunication networks",1995,Decile 1,BHARTIARTL,532454
47858,CIPLA LTD.,CIPLA,Drugs & pharmaceuticals,21002,Manufacture of allopathic pharmaceutical preparations,1935,Decile 1,CIPLA,500087
48799,COAL INDIA LTD.,COAL INDIA,Other fund based financial services,64300,"Trusts, funds and other financial vehicles",1973,Decile 1,COALINDIA,533278
62987,DR. REDDY'S LABORATORIES LTD.,DR. REDDY'S,Drugs & pharmaceuticals,21002,Manufacture of allopathic pharmaceutical preparations,1984,Decile 1,DRREDDY,500124
79498,G A I L (INDIA) LTD.,GAIL,LNG storage & distribution,52109,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]",1984,Decile 1,GAIL,532155
88297,H D F C BANK LTD.,HDFC,Banking services,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1994,Decile 1,HDFCBANK,500180
92590,HERO MOTOCORP LTD.,,Two & three wheelers,30911,"Manufacture of motorcycles, scooters, mopeds etc. and their engine",1984,Decile 1,HEROMOTOCO,500182
93902,HINDALCO INDUSTRIES LTD.,,Copper & copper products,24201,"Manufacture of Copper from ore, and other copper products and alloys",1958,Decile 1,HINDALCO,500440
94080,HINDUSTAN UNILEVER LTD.,,"Cosmetics, toiletries, soaps & detergents",20239,Manufacture of other perfumes and toilet preparations n.e.c.,1933,Decile 1,HINDUNILVR,500696
95632,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,HDFC,Housing finance services,64192,Activities of specialized institutions granting credit for house purchases that also take deposits,1977,Decile 1,HDFC,500010
96379,I C I C I BANK LTD.,,Banking services,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1994,Decile 1,ICICIBANK,532174
97066,I T C LTD.,ITC,Tobacco products,12003,"Manufacture of cigarettes, cigarette tobacco",1910,Decile 1,ITC,500875
100632,INFOSYS LTD.,INFOSYS,Computer software,62013,Providing software support and maintenance to the clients,1981,Decile 1,INFY,500209
127106,LARSEN & TOUBRO LTD.,LARSEN & TOUBRO,Industrial construction,42209,Construction of utility projects n.e.c.,1946,Decile 1,LT,500510
136444,MAHINDRA & MAHINDRA LTD.,,Diversified,34,Diversified,1945,Decile 1,M&M,500520
140829,MARUTI SUZUKI INDIA LTD.,,Passenger vehicles,29101,Manufacture of passenger cars,1981,Decile 1,MARUTI,532500
155695,N T P C LTD.,NTPC,Electricity generation,35103,"Electric power generation by non-coal based thermal (e.g. diesel, gas )",1975,Decile 1,NTPC,532555
163226,OIL & NATURAL GAS CORPN. LTD.,,Crude oil & natural gas,6102,On shore extraction of crude petroleum,1993,Decile 1,ONGC,500312
164646,TATA CONSULTANCY SERVICES LTD.,TCS,Computer software,62013,Providing software support and maintenance to the clients,1995,Decile 1,TCS,532540
196667,RELIANCE INDUSTRIES LTD.,RIL,Refinery,19209,"Manufacture of other petroleum n.e.c. (includes Manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)",1973,Decile 1,RELIANCE,500325
216946,SESA STERLITE LTD.,SESA GOA,Minerals,7100,Mining of iron ores,1965,Decile 1,SSLT,500295
236328,STATE BANK OF INDIA,SBI,Banking services,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1955,Decile 1,SBIN,500112
239726,SUN PHARMACEUTICAL INDS. LTD.,SUN PHARMACEUTICAL,Drugs & pharmaceuticals,21002,Manufacture of allopathic pharmaceutical preparations,1993,Decile 1,SUNPHARMA,524715
248093,TATA MOTORS LTD.,TATA MOTORS,Commercial vehicles,29102,"Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc.",1945,Decile 1,TATAMOTORS,500570
248136,TATA STEEL LTD.,TATA STEEL,Steel,24105,Manufacture of hot-rolled and cold-rolled products of steel,1907,Decile 1,TATASTEEL,500470
248165,TATA POWER CO. LTD.,TATA POWER CO.,Electricity generation,35103,"Electric power generation by non-coal based thermal (e.g. diesel, gas )",1919,Decile 1,TATAPOWER,500400
256066,AXIS BANK LTD.,AXIS BANK,Banking services,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1993,Decile 1,AXISBANK,532215
272724,WIPRO LTD.,,Computer software,62013,Providing software support and maintenance to the clients,1945,Decile 1,WIPRO,507685
374518,BAJAJ AUTO LTD.,,Two & three wheelers,30911,"Manufacture of motorcycles, scooters, mopeds etc. and their engine",2007,Decile 1,BAJAJ-AUTO,532977
