co_code,company_name,date,months,total_income,net_sales,raw_material_cost,employee_cost,power_fuel_cost,depreciation,EBITDA,PAT,inventories,trade_receivables,trade_payables,rm_pct_of_sales,power_pct_of_sales,EBITDA_margin_pct,PAT_margin_pct
33769,BHARAT HEAVY ELECTRICALS LTD.,1997-06-30,3,298.4074,286.3858,,,,7.5721,15.242,2.9747,,,,0.0000,0.0000,5.1078,1.0387
33769,BHARAT HEAVY ELECTRICALS LTD.,1997-09-30,3,373.5134,351.6202,,,,8.5853,59.7728,29.3273,,,,0.0000,0.0000,16.0029,8.3406
33769,BHARAT HEAVY ELECTRICALS LTD.,1997-12-31,3,392.392,387.6389,,,,4.9961,59.155,32.302,,,,0.0000,0.0000,15.0755,8.3330
33769,BHARAT HEAVY ELECTRICALS LTD.,1998-03-31,3,732.1974,692.7103,,,,11.6506,177.707,116.6153,,,,0.0000,0.0000,24.2704,16.8346
33769,BHARAT HEAVY ELECTRICALS LTD.,1998-06-30,3,255.4596,236.9832,,,,8.3859,15.2472,3.4829,,,,0.0000,0.0000,5.9686,1.4697
33769,BHARAT HEAVY ELECTRICALS LTD.,1998-09-30,3,352.4897,332.6975,,,,8.2462,53.6001,27.7044,,,,0.0000,0.0000,15.2061,8.3272
33769,BHARAT HEAVY ELECTRICALS LTD.,1998-12-31,3,386.3301,361.4507,,,,9.2152,61.3573,35.0983,,,,0.0000,0.0000,15.8821,9.7104
33769,BHARAT HEAVY ELECTRICALS LTD.,1999-03-31,3,746.6724,711.3274,,,,8.5683,134.9152,68.9983,,,,0.0000,0.0000,18.0689,9.6999
33769,BHARAT HEAVY ELECTRICALS LTD.,1999-06-30,3,294.1468,284.5426,,,,9.0316,16.1113,3.767,,,,0.0000,0.0000,5.4773,1.3239
33769,BHARAT HEAVY ELECTRICALS LTD.,1999-09-30,3,319.1873,309.3054,152.5589,66.0955,,9.0596,52.0352,29.3908,,,,49.3231,0.0000,16.3024,9.5022
33769,BHARAT HEAVY ELECTRICALS LTD.,1999-12-31,3,362.1083,349.5061,163.4812,76.3904,,8.6514,46.888,29.5968,,,,46.7749,0.0000,12.9486,6.6916
33769,BHARAT HEAVY ELECTRICALS LTD.,2000-03-31,3,596.2798,576.5429,288.9425,85.153,,8.5986,124.0393,85.9697,,,,50.1164,0.0000,20.8022,14.0681
33769,BHARAT HEAVY ELECTRICALS LTD.,2000-06-30,3,197.2008,191.128,107.3505,67.8638,,8.655,9.7715,5.7237,,,,56.1668,0.0000,4.9551,0.2365
33769,BHARAT HEAVY ELECTRICALS LTD.,2000-09-30,3,258.0335,248.8592,139.9943,69.1625,,8.4683,12.2491,8.2503,,,,56.2544,0.0000,4.7471,1.0420
33769,BHARAT HEAVY ELECTRICALS LTD.,2000-12-31,3,276.6559,268.5383,142.8584,117.7271,,8.986,-31.4029,-26.9879,,,,53.1985,0.0000,-11.3509,-15.7683
33769,BHARAT HEAVY ELECTRICALS LTD.,2001-03-31,3,607.3937,586.9607,299.6858,107.5793,,8.1016,119.4904,107.9354,,,,51.0572,0.0000,19.6726,17.9076
33769,BHARAT HEAVY ELECTRICALS LTD.,2001-06-30,3,195.9897,188.9308,97.3503,71.7697,,8.8885,-13.4881,-19.0322,,,,51.5269,0.0000,-6.882,-14.0959
33769,BHARAT HEAVY ELECTRICALS LTD.,2001-09-30,3,314.2824,302.1975,168.5199,77.4965,,8.6198,43.2355,38.0892,,,,55.7648,0.0000,13.7569,10.1705
33769,BHARAT HEAVY ELECTRICALS LTD.,2001-12-31,3,316.4186,304.948,174.9446,73.4184,,9.7845,40.749,11.2598,,,,57.3687,0.0000,12.8782,5.4845
